Team_1,Team_2,Winner,Ground,1
Bangladesh ,Pakistan,Bangladesh ,Shere Bangla National Stadium,2
Bangladesh ,Pakistan,Bangladesh ,Shere Bangla National Stadium,3
Bangladesh ,Pakistan,Bangladesh ,Shere Bangla National Stadium,4
Ireland ,England,No result,The Village,5
Pakistan ,Zimbabwe,Pakistan ,Gaddafi Stadium,6
Pakistan ,Zimbabwe,Pakistan ,Gaddafi Stadium,7
Pakistan ,Zimbabwe,No result,Gaddafi Stadium,8
England ,New Zealand,England ,Edgbaston,9
England,New Zealand,New Zealand ,Kennington Oval,10
England ,New Zealand,New Zealand ,The Rose Bowl,11
England ,New Zealand,England,Trent Bridge,12
Bangladesh,India,Bangladesh ,Shere Bangla National Stadium,13
England ,New Zealand,England,Riverside Ground,14
Bangladesh ,India,Bangladesh ,Shere Bangla National Stadium,15
Bangladesh ,India,India,Shere Bangla National Stadium,16
Bangladesh ,South Africa,South Africa,Shere Bangla National Stadium,17
Zimbabwe ,India,India,Harare Sports Club,18
Sri Lanka ,Pakistan,Pakistan,Rangiri Dambulla International Stadium,19
Bangladesh ,South Africa,Bangladesh ,Shere Bangla National Stadium,20
Zimbabwe ,India,India,Harare Sports Club,21
Zimbabwe ,India,India,Harare Sports Club,22
Sri Lanka ,Pakistan,Sri Lanka ,Pallekele International Cricket Stadium,23
Bangladesh ,South Africa,Bangladesh,Zahur Ahmed Chowdhury Stadium,24
Sri Lanka ,Pakistan,Pakistan,R Premadasa Stadium,25
Sri Lanka ,Pakistan,Pakistan,R Premadasa Stadium,26
Sri Lanka ,Pakistan,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,27
Zimbabwe ,New Zealand,Zimbabwe ,Harare Sports Club,28
Zimbabwe ,New Zealand,New Zealand,Harare Sports Club,29
Zimbabwe ,New Zealand,New Zealand,Harare Sports Club,30
South Africa,New Zealand,South Africa,SuperSport Park,31
South Africa ,New Zealand,New Zealand ,Senwes Park,32
South Africa ,New Zealand,South Africa,Kingsmead,33
Ireland ,Australia,Australia ,Civil Service Cricket Club,34
England ,Australia,Australia ,The Rose Bowl,35
England ,Australia,Australia ,Lord's,36
England,Australia,England,Old Trafford,37
England ,Australia,England,Headingley,38
England ,Australia,Australia,Old Trafford,39
Zimbabwe ,Pakistan,Pakistan,Harare Sports Club,40
Zimbabwe ,Pakistan,Zimbabwe,Harare Sports Club,41
Zimbabwe ,Pakistan,Pakistan,Harare Sports Club,42
India ,South Africa,India ,Holkar Cricket Stadium,43
Zimbabwe ,Afghanistan,Zimbabwe,Queens Sports Club,44
Zimbabwe,Afghanistan,Afghanistan ,Queens Sports Club,45
India ,South Africa,South Africa,Saurashtra Cricket Association Stadium,46
Zimbabwe ,Afghanistan,Zimbabwe,Queens Sports Club,47
India ,South Africa,India,MA Chidambaram Stadium,48
Zimbabwe ,Afghanistan,Afghanistan,Queens Sports Club,49
Zimbabwe ,Afghanistan,Afghanistan,Queens Sports Club,50
India ,South Africa,South Africa,Wankhede Stadium,51
Sri Lanka ,West Indies,Sri Lanka,R Premadasa Stadium,52
Sri Lanka ,West Indies,Sri Lanka,R Premadasa Stadium,53
Bangladesh ,Zimbabwe,Bangladesh ,Shere Bangla National Stadium,54
Sri Lanka,West Indies,Sri Lanka,Pallekele International Cricket Stadium,55
Bangladesh ,Zimbabwe,Bangladesh ,Shere Bangla National Stadium,56
Pakistan ,England,Pakistan,Sheikh Zayed Stadium,57
Bangladesh,Zimbabwe,Bangladesh,Shere Bangla National Stadium,58
Pakistan ,England,England ,Sheikh Zayed Stadium,59
Pakistan ,England,England ,Sharjah Cricket Stadium,60
Pakistan,England,England,Dubai International Cricket Stadium,61
Afghanistan ,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,62
New Zealand ,Sri Lanka,New Zealand,Hagley Oval,63
New Zealand ,Sri Lanka,New Zealand,Hagley Oval,64
Afghanistan ,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,65
New Zealand ,Sri Lanka,Sri Lanka ,Saxton Oval,66
Afghanistan ,Zimbabwe,Zimbabwe,Sharjah Cricket Stadium,67
New Zealand ,Sri Lanka,No result,Saxton Oval,68
Afghanistan ,Zimbabwe,Zimbabwe,Sharjah Cricket Stadium,69
New Zealand ,Sri Lanka,New Zealand,Bay Oval,70
Afghanistan ,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,71
Australia ,India,Australia,WACA Ground,72
Australia ,India,Australia,Brisbane Cricket Ground,73
Australia ,India,Australia,Manuka Oval,74
Australia ,India,India,Sydney Cricket Ground,75
New Zealand ,Pakistan,New Zealand,Basin Reserve,76
New Zealand ,Pakistan,Match abandoned,McLean Park,77
New Zealand,Pakistan,New Zealand,Eden Park,78
New Zealand ,Australia,New Zealand,Eden Park,79
South Africa ,England,England,Mangaung Oval,80
New Zealand ,Australia,Australia,Sky Stadium,81
South Africa ,England,England,St George's Park,82
New Zealand,Australia,New Zealand,Seddon Park,83
South Africa ,England,South Africa,SuperSport Park,84
South Africa ,England,South Africa,Wanderers Stadium,85
South Africa ,England,South Africa,Newlands,86
West Indies ,Australia,Australia,Providence Stadium,87
Australia ,South Africa,South Africa,Providence Stadium,88
Zimbabwe,India,India,Harare Sports Club,89
Australia,South Africa,Australia,Warner Park,90
Zimbabwe ,India,India,Harare Sports Club,91
West Indies ,Australia,West Indies,Warner Park,92
Zimbabwe ,India,India,Harare Sports Club,93
West Indies ,South Africa,South Africa,Warner Park,94
Ireland ,Sri Lanka,Sri Lanka,The Village,95
Ireland ,Sri Lanka,Sri Lanka,The Village,96
Australia ,South Africa,No result,Kensington Oval,97
England ,Sri Lanka,Match Tied,Trent Bridge,98
West Indies ,Australia,Australia,Kensington Oval,99
England ,Sri Lanka,England,Edgbaston,100
West Indies ,South Africa,West Indies,Kensington Oval,101
England,Sri Lanka,No result,County Ground (Bristol),102
West Indies ,Australia,Australia,Kensington Oval,103
England ,Sri Lanka,England,Kennington Oval,104
England ,Sri Lanka,England,Sophia Gardens,105
Scotland ,Afghanistan,No result,Grange Cricket Club,106
Scotland ,Afghanistan,Afghanistan,Grange Cricket Club,107
Ireland,Afghanistan,Match abandoned,Civil Service Cricket Club,108
Ireland,Afghanistan,Afghanistan,Civil Service Cricket Club,109
Ireland,Afghanistan,Ireland,Civil Service Cricket Club,110
Ireland ,Afghanistan,Afghanistan,Civil Service Cricket Club,111
Ireland ,Afghanistan,Ireland,Civil Service Cricket Club,112
Ireland ,Pakistan,Pakistan,The Village,113
Ireland ,Pakistan,Match abandoned,The Village,114
Sri Lanka ,Australia,Australia,R Premadasa Stadium,115
England ,Pakistan,England,The Rose Bowl,116
Sri Lanka ,Australia,Sri Lanka,R Premadasa Stadium,117
England ,Pakistan,England,Lord's,118
Sri Lanka ,Australia,Australia,Rangiri Dambulla International Stadium,119
England ,Pakistan,England,Trent Bridge,120
Sri Lanka ,Australia,Australia,Rangiri Dambulla International Stadium,121
England ,Pakistan,England,Headingley,122
England ,Pakistan,Pakistan,Sophia Gardens,123
Sri Lanka ,Australia,Australia,Pallekele International Cricket Stadium,124
Bangladesh ,Afghanistan,Bangladesh,Shere Bangla National Stadium,125
South Africa ,Ireland,South Africa,Willowmoore Park,126
Australia ,Ireland,Australia,Willowmoore Park,127
Bangladesh ,Afghanistan,Afghanistan,Shere Bangla National Stadium,128
Pakistan ,West Indies,Pakistan,Sharjah Cricket Stadium,129
South Africa ,Australia,South Africa,SuperSport Park,130
Bangladesh ,Afghanistan,Bangladesh,Shere Bangla National Stadium,131
Pakistan ,West Indies,Pakistan,Sharjah Cricket Stadium,132
South Africa ,Australia,South Africa,Wanderers Stadium,133
Pakistan ,West Indies,Pakistan,Sheikh Zayed Stadium,134
South Africa ,Australia,South Africa,Kingsmead,135
Bangladesh ,England,England,Shere Bangla National Stadium,136
South Africa ,Australia,South Africa,St George's Park,137
Bangladesh ,England,Bangladesh,Shere Bangla National Stadium,138
Bangladesh ,England,England,Zahur Ahmed Chowdhury Stadium,139
South Africa ,Australia,South Africa,Newlands,140
India ,New Zealand,India,Himachal Pradesh Cricket Association Stadium,141
India ,New Zealand,New Zealand,Arun Jaitley Stadium,142
India,New Zealand,India,Punjab Cricket Association IS Bindra Stadium,143
India ,New Zealand,New Zealand,JSCA International Stadium Complex,144
India ,New Zealand,India,Dr YS Rajasekhara Reddy Cricket Stadium,145
Zimbabwe ,Sri Lanka,Sri Lanka,Harare Sports Club,146
Sri Lanka ,West Indies,West Indies,Harare Sports Club,147
Zimbabwe ,West Indies,Match Tied,Queens Sports Club,148
Zimbabwe ,Sri Lanka,No result,Queens Sports Club,149
Sri Lanka ,West Indies,Sri Lanka,Queens Sports Club,150
Zimbabwe,West Indies,Zimbabwe,Queens Sports Club,151
Zimbabwe,Sri Lanka,Sri Lanka,Queens Sports Club,152
Australia ,New Zealand,Australia,Sydney Cricket Ground,153
Australia ,New Zealand,Australia,Manuka Oval,154
Australia ,New Zealand,Australia,Melbourne Cricket Ground,155
New Zealand,Bangladesh,New Zealand,Hagley Oval,156
New Zealand ,Bangladesh,New Zealand,Saxton Oval,157
New Zealand ,Bangladesh,New Zealand,Saxton Oval,158
Australia ,Pakistan,Australia ,Brisbane Cricket Ground,159
India, England,India ,Maharashtra Cricket Association Stadium,160
Australia ,Pakistan,Pakistan,Melbourne Cricket Ground,161
India , England,India ,Barabati Stadium,162
Australia, Pakistan,Australia,WACA Ground,163
India,England,England ,Eden Gardens,164
Australia,Pakistan,Australia,Sydney Cricket Ground,165
Australia, Pakistan,Australia,Adelaide Oval,166
South Africa ,Sri Lanka,South Africa ,St George's Park,167
New Zealand, Australia,New Zealand ,Eden Park,168
South Africa,Sri Lanka,South Africa ,Kingsmead,169
New Zealand ,Australia,Match abandoned,McLean Park,170
South Africa,Sri Lanka,South Africa ,Wanderers Stadium,171
New Zealand , Australia,New Zealand,Seddon Park,172
South Africa, Sri Lanka,South Africa,Newlands,173
South Africa ,Sri Lanka,South Africa ,SuperSport Park,174
Zimbabwe, Afghanistan,Afghanistan ,Harare Sports Club,175
New Zealand,South Africa,South Africa ,Seddon Park,176
Zimbabwe , Afghanistan,Afghanistan,Harare Sports Club,177
Zimbabwe, Afghanistan,Zimbabwe ,Harare Sports Club,178
New Zealand ,South Africa,New Zealand ,Hagley Oval,179
Zimbabwe ,Afghanistan,Zimbabwe ,Harare Sports Club,180
New Zealand ,South Africa,South Africa ,Sky Stadium,181
Zimbabwe,Afghanistan,Afghanistan ,Harare Sports Club,182
New Zealand ,South Africa,New Zealand ,Seddon Park,183
West Indies ,England,England ,Sir Vivian Richards Stadium,184
New Zealand ,South Africa,South Africa ,Eden Park,185
West Indies ,England,England ,Sir Vivian Richards Stadium,186
West Indies ,England,England,Kensington Oval,187
Afghanistan,Ireland,Afghanistan,Greater Noida Sports Complex Ground,188
Afghanistan,Ireland,Afghanistan,Greater Noida Sports Complex Ground,189
Afghanistan ,Ireland,Ireland ,Greater Noida Sports Complex Ground,190
Afghanistan,Ireland,Ireland ,Greater Noida Sports Complex Ground,191
Afghanistan ,Ireland,Afghanistan ,Greater Noida Sports Complex Ground,192
Sri Lanka ,Bangladesh,Bangladesh ,Rangiri Dambulla International Stadium,193
Sri Lanka,Bangladesh,No result,Rangiri Dambulla International Stadium,194
Sri Lanka ,Bangladesh,Sri Lanka,Sinhalese Sports Club Ground,195
West Indies,Pakistan,West Indies ,Providence Stadium,196
West Indies ,Pakistan,Pakistan ,Providence Stadium,197
West Indies ,Pakistan,Pakistan ,Providence Stadium,198
England,Ireland,England ,County Ground (Bristol),199
England,Ireland,England ,Lord's,200
Ireland,Bangladesh,No result,The Village,201
Ireland ,New Zealand,New Zealand,The Village,202
Bangladesh,New Zealand,New Zealand ,Castle Avenue,203
Ireland,Bangladesh,Bangladesh ,The Village,204
Ireland ,New Zealand,New Zealand ,The Village,205
England ,South Africa,England ,Headingley,206
Bangladesh ,New Zealand,Bangladesh ,Castle Avenue,207
England ,South Africa,England ,The Rose Bowl,208
England ,South Africa,South Africa ,Lord's,209
England ,Bangladesh,England,Kennington Oval,210
Australia ,New Zealand,No result,Edgbaston,211
Sri Lanka ,South Africa,South Africa ,Kennington Oval,212
India ,Pakistan,India ,Edgbaston,213
Australia ,Bangladesh,No result,Kennington Oval,214
England ,New Zealand,England,Sophia Gardens,215
Pakistan ,South Africa,Pakistan,Edgbaston,216
India ,Sri Lanka,Sri Lanka ,Kennington Oval,217
West Indies,Afghanistan,Afghanistan,Daren Sammy National Cricket Stadium,218
New Zealand ,Bangladesh,Bangladesh ,Sophia Gardens,219
England ,Australia,England ,Edgbaston,220
West Indies ,Afghanistan,West Indies ,Daren Sammy National Cricket Stadium,221
India ,South Africa,India ,Kennington Oval,222
Sri Lanka,Pakistan,Pakistan ,Sophia Gardens,223
West Indies, Afghanistan,No result,Daren Sammy National Cricket Stadium,224
England ,Pakistan,Pakistan ,Sophia Gardens,225
Bangladesh,India,India ,Edgbaston,226
India,Pakistan,Pakistan ,Kennington Oval,227
West Indies ,India,No result,Queen's Park Oval,228
West Indies ,India,India ,Queen's Park Oval,229
Sri Lanka ,Zimbabwe,Zimbabwe ,Galle International Stadium,230
West Indies,India,India ,Sir Vivian Richards Stadium,231
Sri Lanka ,Zimbabwe,Sri Lanka ,Galle International Stadium,232
West Indies,India,West Indies ,Sir Vivian Richards Stadium,233
Sri Lanka ,Zimbabwe,Sri Lanka ,Mahinda Rajapaksha International Cricket Stadium,234
West Indies ,India,India ,Sabina Park,235
Sri Lanka ,Zimbabwe,Zimbabwe ,Mahinda Rajapaksha International Cricket Stadium,236
Sri Lanka ,Zimbabwe,Zimbabwe ,Mahinda Rajapaksha International Cricket Stadium,237
Sri Lanka ,India,India ,Rangiri Dambulla International Stadium,238
Sri Lanka ,India,India ,Pallekele International Cricket Stadium,239
Sri Lanka ,India,India ,Pallekele International Cricket Stadium,240
Sri Lanka ,India,India ,R Premadasa Stadium,241
Sri Lanka,India,India ,R Premadasa Stadium,242
India ,Australia,India ,MA Chidambaram Stadium,243
England ,West Indies,England ,Old Trafford,244
England , West Indies,No result,Trent Bridge,245
India,Australia,India ,Eden Gardens,246
England,West Indies,England ,County Ground (Bristol),247
India,Australia,India ,Holkar Cricket Stadium,248
England ,West Indies,England ,Kennington Oval,249
India ,Australia,Australia ,M Chinnaswamy Stadium,250
England,West Indies,England ,The Rose Bowl,251
India,Australia,India ,Vidarbha Cricket Association Stadium,252
Pakistan ,Sri Lanka,Pakistan ,Dubai International Cricket Stadium,253
South Africa ,Bangladesh,South Africa ,Diamond Oval,254
Pakistan ,Sri Lanka,Pakistan ,Sheikh Zayed Stadium,255
South Africa ,Bangladesh,South Africa ,Boland Park,256
Pakistan ,Sri Lanka,Pakistan ,Sheikh Zayed Stadium,257
Pakistan ,Sri Lanka,Pakistan ,Sharjah Cricket Stadium,258
India ,New Zealand,New Zealand ,Wankhede Stadium,259
South Africa ,Bangladesh,South Africa,Buffalo Park,260
Pakistan ,Sri Lanka,Pakistan ,Sharjah Cricket Stadium,261
India ,New Zealand,India ,Maharashtra Cricket Association Stadium,262
India ,New Zealand,India ,Green Park,263
Afghanistan,Ireland,Afghanistan ,Sharjah Cricket Stadium,264
Afghanistan ,Ireland,Ireland ,Sharjah Cricket Stadium,265
India ,Sri Lanka,Sri Lanka ,Himachal Pradesh Cricket Association Stadium,266
Afghanistan ,Ireland,Ireland ,Sharjah Cricket Stadium,267
India ,Sri Lanka,India ,Punjab Cricket Association IS Bindra Stadium,268
India ,Sri Lanka,India ,Dr YS Rajasekhara Reddy Cricket Stadium,269
New Zealand, West Indies,New Zealand ,Cobham Oval (New),270
New Zealand ,West Indies,New Zealand ,Hagley Oval,271
New Zealand ,West Indies,New Zealand ,Hagley Oval,272
New Zealand,Pakistan,New Zealand,Basin Reserve,273
New Zealand ,Pakistan,New Zealand,Saxton Oval,274
New Zealand ,Pakistan,New Zealand,University Oval,275
Australia ,England,England,Melbourne Cricket Ground,276
Bangladesh ,Zimbabwe,Bangladesh,Shere Bangla National Stadium,277
New Zealand ,Pakistan,New Zealand,Seddon Park,278
Sri Lanka ,Zimbabwe,Zimbabwe,Shere Bangla National Stadium,279
Australia ,England,England,Brisbane Cricket Ground,280
New Zealand ,Pakistan,New Zealand,Basin Reserve,281
Bangladesh ,Sri Lanka,Bangladesh,Shere Bangla National Stadium,282
Australia ,England,England,Sydney Cricket Ground,283
Sri Lanka ,Zimbabwe,Sri Lanka,Shere Bangla National Stadium,284
Bangladesh ,Zimbabwe,Bangladesh,Shere Bangla National Stadium,285
Bangladesh ,Sri Lanka,Sri Lanka,Shere Bangla National Stadium,286
Australia,England,Australia,Adelaide Oval,287
Bangladesh ,Sri Lanka,Sri Lanka,Shere Bangla National Stadium,288
Australia ,England,England,Perth Stadium,289
South Africa ,India,India,Kingsmead,290
South Africa ,India,India,SuperSport Park,291
South Africa ,India,India,Newlands,292
Afghanistan,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,293
South Africa ,India,South Africa,Wanderers Stadium,294
Afghanistan ,Zimbabwe,Zimbabwe,Sharjah Cricket Stadium,295
Afghanistan ,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,296
South Africa ,India,India,St George's Park,297
Afghanistan ,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,298
South Africa ,India,India,SuperSport Park,299
Afghanistan ,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,300
New Zealand ,England,New Zealand,Seddon Park,301
New Zealand,England,England,Bay Oval,302
New Zealand ,England,England,Sky Stadium,303
Afghanistan ,Scotland,Scotland,Bulawayo Athletic Club,304
New Zealand ,England,New Zealand,University Oval,305
New Zealand ,England,England,Hagley Oval,306
Afghanistan ,West Indies,Afghanistan,Harare Sports Club,307
Afghanistan ,United Arab Emirates,Afghanistan,Old Hararians Sports Club,308
Afghanistan ,Ireland,Afghanistan,Harare Sports Club,309
Afghanistan ,West Indies,Afghanistan,Harare Sports Club,310
Scotland ,England,Scotland,Grange Cricket Club,311
England ,Australia,England,Sophia Gardens,312
England ,Australia,England,Trent Bridge,313
England ,Australia,England,Riverside Ground,314
England ,Australia,England,Old Trafford,315
England ,India,India,Trent Bridge,316
Zimbabwe ,Pakistan,Pakistan,Queens Sports Club,317
England ,India,England,Lord's,318
Zimbabwe ,Pakistan,Pakistan,Queens Sports Club,319
England ,India,England,Headingley,320
Zimbabwe ,Pakistan,Pakistan,Queens Sports Club,321
Zimbabwe ,Pakistan,Pakistan,Queens Sports Club,322
West Indies ,Bangladesh,Bangladesh,Providence Stadium,323
Zimbabwe ,Pakistan,Pakistan,Queens Sports Club,324
West Indies ,Bangladesh,West Indies ,Providence Stadium,325
West Indies ,Bangladesh,Bangladesh,Warner Park,326
Sri Lanka,South Africa,South Africa,Rangiri Dambulla International Stadium,327
Netherlands ,Nepal,Netherlands,VRA Ground,328
Sri Lanka ,South Africa,South Africa,Rangiri Dambulla International Stadium,329
Netherlands,Nepal,Nepal,VRA Ground,330
Sri Lanka ,South Africa,South Africa,Pallekele International Cricket Stadium,331
Sri Lanka ,South Africa,Sri Lanka,Pallekele International Cricket Stadium,332
Sri Lanka,South Africa,Sri Lanka,R Premadasa Stadium,333
Ireland ,Afghanistan,Afghanistan,Civil Service Cricket Club,334
Ireland ,Afghanistan,Ireland,Civil Service Cricket Club,335
Ireland ,Afghanistan,Afghanistan,Civil Service Cricket Club,336
Bangladesh ,Sri Lanka,Bangladesh,Dubai International Cricket Stadium,337
Hong Kong,Pakistan,Pakistan,Dubai International Cricket Stadium,338
Afghanistan ,Sri Lanka,Afghanistan,Sheikh Zayed Stadium,339
Hong Kong ,India,India,Dubai International Cricket Stadium,340
India ,Pakistan,India,Dubai International Cricket Stadium,341
Afghanistan ,Bangladesh,Afghanistan,Sheikh Zayed Stadium,342
Bangladesh ,India,India,Dubai International Cricket Stadium,343
Afghanistan ,Pakistan,Pakistan,Sheikh Zayed Stadium,344
India ,Pakistan,India,Dubai International Cricket Stadium,345
Afghanistan ,Bangladesh,Bangladesh,Sheikh Zayed Stadium,346
Afghanistan ,India,Match Tied,Dubai International Cricket Stadium,347
Bangladesh ,Pakistan,Bangladesh,Sheikh Zayed Stadium,348
Bangladesh ,India,India,Dubai International Cricket Stadium,349
South Africa ,Zimbabwe,South Africa,Diamond Oval,350
South Africa,Zimbabwe,South Africa,Mangaung Oval,351
South Africa,Zimbabwe,South Africa,Boland Park,352
Sri Lanka ,England,No result,Rangiri Dambulla International Stadium,353
Sri Lanka ,England,England,Rangiri Dambulla International Stadium,354
Sri Lanka ,England,England,Pallekele International Cricket Stadium,355
Sri Lanka,England,England,Pallekele International Cricket Stadium,356
Bangladesh ,Zimbabwe,Bangladesh,Shere Bangla National Stadium,357
India ,West Indies,India,Barsapara Cricket Stadium,358
Sri Lanka ,England,Sri Lanka,R Premadasa Stadium,359
Bangladesh,Zimbabwe,Bangladesh,Zahur Ahmed Chowdhury Stadium,360
India ,West Indies,Match Tied,Dr YS Rajasekhara Reddy Cricket Stadium,361
Bangladesh ,Zimbabwe,Bangladesh,Zahur Ahmed Chowdhury Stadium,362
India ,West Indies,West Indies,Maharashtra Cricket Association Stadium,363
India ,West Indies,India,Brabourne Stadium,364
India,West Indies,India,Greenfield International Stadium,365
Australia ,South Africa,South Africa,Perth Stadium,366
Pakistan,New Zealand,New Zealand,Sheikh Zayed Stadium,367
Australia ,South Africa,Australia,Adelaide Oval,368
Pakistan ,New Zealand,Pakistan,Sheikh Zayed Stadium,369
Australia ,South Africa,South Africa,Bellerive Oval,370
Bangladesh ,West Indies,Bangladesh,Shere Bangla National Stadium,371
Bangladesh ,West Indies,West Indies,Shere Bangla National Stadium,372
Bangladesh ,West Indies,Bangladesh,Sylhet Stadium,373
New Zealand,Sri Lanka,New Zealand,Bay Oval,374
New Zealand ,Sri Lanka,New Zealand,Bay Oval,375
New Zealand ,Sri Lanka,New Zealand,Saxton Oval,376
Australia ,India,Australia,Sydney Cricket Ground,377
Australia ,India,India ,Adelaide Oval,378
Australia ,India,India ,Melbourne Cricket Ground,379
South Africa ,Pakistan,Pakistan ,St George's Park,380
South Africa ,Pakistan,South Africa ,Kingsmead,381
New Zealand ,India,India ,McLean Park,382
South Africa,Pakistan,South Africa ,SuperSport Park,383
New Zealand ,India,India ,Bay Oval,384
South Africa ,Pakistan,Pakistan,Wanderers Stadium,385
New Zealand ,India,India ,Bay Oval,386
South Africa ,Pakistan,South Africa ,Newlands,387
New Zealand ,India,New Zealand,Seddon Park,388
New Zealand ,India,India,Sky Stadium,389
New Zealand ,Bangladesh,New Zealand,McLean Park,390
New Zealand,Bangladesh,New Zealand,Hagley Oval,391
West Indies,England,England ,Kensington Oval,392
New Zealand ,Bangladesh,New Zealand,University Oval,393
